Title,Rating,Year,Popularity
Fall of Vengeance Awakened,7.0,2010,3.09
Final City,7.8,2015,7.37
Final City Part 1,5.8,1993,57.67
Final City Part 2,9.0,2008,9.57
Final Dawn,6.7,2023,17.96
Final Dawn Part 1,8.4,2017,5.41
Final Dawn Part 2,5.9,2014,2.15
Final Destiny,6.4,2021,44.17
Final Eclipse,8.2,2015,100.0
Final Eclipse Part 1,8.7,2020,1.28
Final Guardian,6.8,2013,4.39
Final Guardian Part 1,7.3,2021,15.5
Final Horizon,8.2,2009,19.97
Final Legacy,7.4,2024,4.78
Final Legacy Part 1,5.9,2007,16.68
Final Midnight,8.8,2024,1.1
Final Midnight Part 1,6.6,2008,7.55
Final Mountain,8.3,2019,40.07
Final Mountain Part 1,6.5,2022,22.95
Final Ocean,5.2,2000,100.0
Final Ocean Part 1,4.9,2012,21.45
Final Paradise,9.1,2007,10.41
Final Paradise Part 1,6.5,2000,0.64
Final Phoenix,6.3,2016,21.39
Final Phoenix Part 1,4.0,2024,2.45
Final Phoenix Part 2,7.7,2011,0.86
Final Redemption,5.0,2020,3.26
Final Redemption Part 1,7.9,2017,68.34
Final Shadow,6.5,2014,25.54
Final Storm,8.6,2016,27.12
Final Thunder,7.8,2010,100.0
Final Thunder Part 1,7.7,2005,100.0
Final Thunder Part 2,3.7,2009,9.58
Final Universe,5.6,1995,17.54
Final Universe Part 1,5.6,1991,5.71
Final Vengeance,7.2,1999,5.35
Final Vengeance Part 1,4.2,2007,24.75
Final Vengeance Part 2,9.7,2019,3.69
Final Vengeance Part 3,8.6,2015,22.05
Final Warrior,8.9,2019,0.79
Final Warrior Part 1,8.5,2009,8.89
Final Warrior Part 2,8.9,2021,100.0
Final Warrior Part 3,9.3,2023,24.8
Final Warrior Part 4,8.2,2016,100.0
First City,8.8,2020,25.31
First City Part 1,8.5,2007,14.21
First Dawn,6.7,2024,88.38
First Destiny,7.1,2007,2.38
First Dragon,8.5,2001,4.67
First Eclipse,7.6,1998,3.43
First Empire,9.4,1992,10.47
First Guardian,7.4,2004,4.12
First Guardian Part 1,7.6,2007,0.92
First Horizon,8.1,2006,12.82
First Kingdom,9.9,2023,7.5
First Kingdom Part 1,6.1,2020,0.75
First Midnight,7.3,1997,21.47
First Midnight Part 1,7.9,2016,1.14
First Mountain,9.8,2009,63.82
First Mountain Part 1,6.9,2023,100.0
First Ocean,7.1,1997,33.8
First Paradise,6.1,1991,6.39
First Paradise Part 1,8.2,2008,6.12
First Paradise Part 2,5.7,2004,2.61
First Paradise Part 3,6.7,2020,15.85
First Paradise Part 4,8.4,2014,9.96
First Paradise Part 5,5.2,2017,3.81
First Paradise Part 6,7.8,2024,2.17
First Phoenix,4.0,2013,55.21
First Phoenix Part 1,7.5,1999,7.1
First Storm,7.1,2019,41.74
First Storm Part 1,6.1,2000,5.32
First Thunder,6.4,2006,7.33
First Thunder Part 1,6.2,2014,8.8
First Universe,5.6,1995,39.27
First Universe Part 1,9.0,1999,4.68
First Valley,8.4,2008,55.64
First Valley Part 1,8.4,1996,2.06
First Vengeance,6.8,2022,27.5
First Vengeance Part 1,7.4,2005,1.69
First Vengeance Part 2,6.9,2019,0.48
First Vengeance Part 3,8.5,1993,7.36
First Vengeance Part 4,7.8,2001,32.68
First Vengeance Part 5,7.9,2008,2.89
First Warrior,8.8,2020,63.8
First Warrior Part 1,7.7,2003,26.02
Guardian 1,8.1,2015,0.64
Guardian 2,9.8,2023,80.8
Guardian 2 Part 1,8.1,1994,6.71
Guardian 4,9.1,2022,16.45
Guardian 4 Part 1,6.6,2015,100.0
Guardian 5,4.6,2004,60.68
Guardian Code,7.2,2012,10.75
Guardian Day,7.7,2017,7.73
Guardian Effect,8.6,1999,100.0
Guardian Effect Part 1,6.6,2004,6.09
Guardian Effect Part 2,6.1,1993,8.06
Guardian Game,7.0,2012,100.0
Guardian Night,7.2,2010,4.27
Guardian Protocol,6.8,2017,5.4
Guardian Protocol Part 1,3.8,2008,11.38
Guardian Signal,4.9,2020,0.67
Guardian Signal Part 1,3.3,2002,17.03
Guardian Theory,7.9,2017,12.75
Horizon 1,6.3,2020,100.0
Horizon 2,8.8,2020,0.37
Horizon 3,7.4,2023,8.82
Horizon 3 Part 1,6.4,2021,2.96
Horizon 4,7.7,2009,16.14
Horizon 4 Part 1,8.7,2007,5.02
Horizon 5,9.7,2006,3.35
Horizon 5 Part 1,9.2,2024,1.93
Horizon Day,7.8,2019,39.14
Horizon Day Part 1,5.7,2018,9.11
Horizon Day Part 2,8.3,2004,33.22
Horizon Effect,9.4,2014,36.07
Horizon Game,7.1,2016,8.92
Horizon Night,8.3,2015,50.0
Horizon Protocol,3.5,2023,39.23
Horizon Signal,9.1,2015,3.29
Horizon Signal Part 1,7.8,2016,1.89
Horizon Theory,8.1,1997,2.19
Horizon Theory Part 1,7.6,2003,11.1
Hunter 1,9.5,2011,48.09
Hunter 2,5.9,2024,28.26
Hunter 2 Part 1,9.4,2023,15.59
Hunter 2 Part 2,9.6,1995,5.75
Hunter 4,7.8,1988,2.1
Hunter 4 Part 1,8.3,2000,15.5
Hunter Game,7.8,2022,2.3
Hunter Project,8.5,2014,100.0
Hunter Protocol,5.7,2011,2.48
Hunter Protocol Part 1,6.9,2002,61.2
Hunter Signal,5.5,2019,31.32
Hunter Theory,8.7,1997,15.05
In the Dragon Origins,7.3,2014,5.94
In the Guardian Chronicles,5.8,1993,3.17
In the Guardian Found,8.8,2020,12.02
In the Horizon Awakened,7.4,2014,7.56
In the Horizon Legacy,8.0,2002,46.27
In the Horizon Rises,7.7,1995,0.29
In the Kingdom Found,8.0,2024,100.0
In the Kingdom Rises,8.9,2017,20.4
In the Legacy Reborn,9.6,2002,1.98
In the Mountain Forever,7.0,2015,100.0
In the Paradise,8.4,2018,22.63
In the Paradise Lost,8.3,2008,21.94
In the Phoenix Forever,5.8,1993,8.71
In the Redemption Origins,8.3,2014,10.38
In the Thunder Divided,6.2,2024,1.24
In the Universe Returns,8.4,1997,100.0
In the Valley Eternal,3.5,1996,10.54
In the Vengeance Reborn,7.6,2017,15.71
Journey to City,8.7,2024,12.15
Journey to Eclipse Divided,8.9,2000,87.89
Journey to Horizon,8.9,2019,3.21
Journey to Horizon Forever,7.0,2023,1.22
Journey to Hunter Lost,7.8,1995,100.0
Journey to Legacy,5.9,2010,5.62
Journey to Legacy Eternal,6.3,2023,4.58
Journey to Mountain,8.9,2004,24.71
Journey to Paradise Rises,8.5,2007,10.01
Journey to Redemption Forever,8.7,1999,5.97
Journey to Redemption Found,6.4,2013,5.86
Journey to Shadow,8.2,2008,100.0
Journey to Storm Awakened,7.4,2001,2.49
Journey to Storm Divided,5.6,2019,38.94
Journey to Storm Divided Part 1,3.7,2016,10.64
Journey to Storm Lost,8.4,2015,26.6
Journey to Thunder Lost,7.8,2019,16.54
Journey to Thunder Rises,8.1,2014,11.72
Kingdom 1,8.5,2004,3.86
Kingdom 2,9.8,2006,5.57
Kingdom 2 Part 1,5.8,1993,5.33
Kingdom 2 Part 2,7.0,2016,7.2
Kingdom 3,5.8,2020,14.83
Kingdom 3 Part 1,7.4,2018,51.99
Kingdom 4,7.5,1990,100.0
Kingdom 4 Part 1,8.5,2007,40.32
Kingdom Code,8.6,2021,100.0
Kingdom Code Part 1,8.8,2018,16.54
Kingdom Code Part 2,7.6,2007,8.48
Kingdom Code Part 3,7.8,2024,6.51
Kingdom Effect,7.9,2008,5.35
Kingdom Effect Part 1,8.4,1995,75.69
Kingdom Effect Part 2,7.8,2007,9.23
Kingdom Effect Part 3,7.1,2019,8.01
Kingdom Effect Part 4,6.8,2020,69.55
Kingdom Game,9.1,2023,72.35
Kingdom Project,9.2,2009,1.31
Kingdom Project Part 1,9.5,2024,100.0
Kingdom Protocol,8.1,2012,15.31
Kingdom Protocol Part 1,8.2,2020,4.6
Kingdom Signal,6.1,2008,4.04
Kingdom Signal Part 1,9.6,2011,36.56
Kingdom Theory,9.2,2003,9.74
Last City,8.3,2017,100.0
Last City Part 1,5.6,1989,55.81
Last Destiny,7.5,2022,100.0
Last Destiny Part 1,7.6,1996,5.34
Last Destiny Part 2,9.4,2021,15.14
Last Dragon,6.8,2019,6.01
Last Eclipse,6.8,2023,5.11
Last Eclipse Part 1,9.4,2011,9.84
Last Eclipse Part 2,9.8,1994,7.57
Last Guardian,8.1,1996,15.73
Last Guardian Part 1,8.1,2021,1.69
Last Guardian Part 2,6.4,2009,2.5
Last Horizon,7.0,2018,24.3
Last Horizon Part 1,6.1,2019,12.64
Last Hunter,9.2,2015,19.73
Last Hunter Part 1,7.0,2024,58.12
Last Kingdom,7.4,2017,3.08
Last Kingdom Part 1,4.5,2018,1.33
Last Midnight,8.8,2021,2.36
Last Midnight Part 1,7.6,2011,1.04
Last Mountain,4.5,2015,14.28
Last Mountain Part 1,4.7,1993,5.4
Last Mountain Part 2,8.0,1999,58.85
Last Mountain Part 3,8.2,1996,32.92
Last Ocean,8.6,1997,87.55
Last Paradise,6.9,2022,24.59
Last Paradise Part 1,8.0,2013,0.34
Last Phoenix,4.7,2020,6.67
Last Shadow,7.6,1996,1.47
Last Shadow Part 1,9.0,2001,14.38
Last Shadow Part 2,7.2,2010,6.73
Last Storm,4.1,2013,100.0
Last Storm Part 1,7.7,2006,19.78
Last Thunder,5.7,2010,2.42
Last Universe,4.6,2013,3.33
Last Universe Part 1,5.6,2011,38.14
Last Universe Part 2,6.4,2010,10.82
Last Valley,8.9,1995,8.81
Last Vengeance,7.2,2010,3.49
Last Warrior,8.9,2001,100.0
Last Warrior Part 1,6.0,2013,4.04
Legacy 2,7.8,2011,40.9
Legacy 3,9.1,2001,49.48
Legacy 5,5.6,2008,8.81
Legacy Code,8.5,2015,2.3
Legacy Code Part 1,9.3,2010,39.45
Legacy Code Part 2,8.8,2014,21.33
Legacy Effect,4.1,2001,5.32
Legacy Game,5.2,2021,3.85
Legacy Night,7.5,2020,40.05
Legacy Night Part 1,8.9,2019,8.65
Legacy Night Part 2,8.9,2016,3.34
Legacy Night Part 3,9.2,2016,100.0
Legacy Protocol,5.4,2018,30.47
Legacy Signal,8.1,2010,3.58
Legacy Signal Part 1,7.4,2004,1.1
Legacy Theory,9.1,2014,47.92
Legacy Theory Part 1,9.6,2024,84.32
Legacy Theory Part 2,5.8,2014,100.0
Legacy Theory Part 3,8.9,1998,9.64
Legend of Dawn Awakened,9.6,2009,3.83
Legend of Dawn Origins,7.5,2023,100.0
Legend of Dragon Found,7.8,2011,10.5
Legend of Empire United,8.8,2013,37.17
Legend of Horizon,5.1,2005,1.68
Legend of Horizon Lost,7.5,1999,100.0
Legend of Hunter Rises,6.5,2001,0.4
Legend of Kingdom Chronicles,7.6,1989,9.65
Legend of Midnight Chronicles,7.2,2015,7.07
Legend of Midnight Forever,7.6,2006,58.68
Legend of Mountain Chronicles,8.1,1999,76.31
Legend of Mountain Lost,8.8,2019,0.61
Legend of Ocean Eternal,4.6,2020,57.14
Legend of Ocean Lost,6.8,2015,32.37
Legend of Phoenix Forever,5.0,2009,1.9
Legend of Phoenix Legacy,7.0,2014,1.25
Legend of Redemption,8.2,2012,13.76
Legend of Redemption Divided,8.1,1989,36.56
Legend of Redemption Lost,8.6,1994,6.12
Legend of Shadow Returns,4.4,2014,44.93
Legend of Storm Awakened,6.8,2001,4.42
Legend of Thunder Awakened,5.1,2001,2.37
Legend of Thunder Divided,5.6,2004,100.0
Legend of Thunder Reborn,6.2,2008,20.95
Legend of Thunder Reborn Part 1,8.1,1995,1.04
Legend of Valley Forever,6.3,2016,100.0
Legend of Warrior Awakened,6.7,2024,34.62
Midnight 1,5.5,2023,30.06
Midnight 1 Part 1,8.7,1988,0.16
Midnight 1 Part 2,8.9,2024,16.18
Midnight 1 Part 3,8.4,1992,13.13
Midnight 1 Part 4,6.9,2024,43.76
Midnight 3,7.0,2009,52.86
Midnight 3 Part 1,9.1,2005,0.46
Midnight 4,5.2,2023,13.6
Midnight 4 Part 1,4.2,2018,55.26
Midnight 5,7.0,2004,7.46
Midnight Code,8.6,2020,100.0
Midnight Code Part 1,5.0,1997,7.51
Midnight Game,9.4,2015,8.74
Midnight Game Part 1,8.3,2017,0.53
Midnight Night,7.5,2016,8.95
Midnight Project,7.2,2002,37.77
Midnight Project Part 1,8.1,2019,1.66
Midnight Theory,9.4,2011,100.0
Mission City Rises,6.7,2021,2.03
Mission Dragon United,7.6,2021,63.82
Mission Horizon Chronicles,6.6,2014,5.24
Mission Horizon Rises,7.5,2006,19.0
Mission Hunter Found,7.7,2019,10.88
Mission Mountain Eternal,5.9,2018,100.0
Mission Paradise Lost,6.8,2015,2.35
Mission Phoenix Found,6.4,2004,63.96
Mission Shadow Forever,6.6,2009,27.53
Mission Shadow Reborn,7.1,2018,27.33
Mission Storm Chronicles,9.3,2018,22.09
Mission Storm Origins,8.8,2022,10.35
Mission Universe,9.8,2024,100.0
Mission Valley Reborn,6.4,2017,46.14
Mission Vengeance Awakened,4.4,2011,45.14
Mission Warrior Divided,8.0,1987,3.28
Mountain 1,7.7,2017,5.76
Mountain 2,9.5,1986,4.99
Mountain 2 Part 1,7.2,2009,0.85
Mountain 4,8.3,2000,11.43
Mountain 5,8.5,1990,1.08
Mountain Day,8.3,2012,2.31
Mountain Effect,7.4,2018,7.73
Mountain Effect Part 1,7.2,1998,6.33
Mountain Effect Part 2,8.9,2023,1.24
Mountain Effect Part 3,7.2,2024,3.07
Mountain Game,8.6,2004,100.0
Mountain Game Part 1,7.7,2018,2.93
Mountain Night,6.7,2017,40.42
Mountain Night Part 1,6.5,2008,7.55
Mountain Night Part 2,8.6,2021,11.13
Mountain Project,9.6,2017,40.02
Mountain Protocol,7.3,2022,32.57
Mountain Signal,8.1,2020,37.87
Mountain Signal Part 1,8.4,1989,19.92
Mountain Theory,4.5,2000,7.61
New City,8.9,2020,12.64
New Dawn,9.4,2023,5.04
New Dawn Part 1,5.0,2022,46.5
New Dawn Part 2,8.5,2004,34.57
New Dawn Part 3,7.3,2003,4.85
New Dragon,7.8,2013,100.0
New Eclipse,8.6,2022,3.5
New Eclipse Part 1,7.2,2015,2.78
New Empire,6.7,1999,4.93
New Hunter,8.0,2013,41.67
New Kingdom,6.0,2021,3.24
New Legacy,9.2,2008,51.06
New Midnight,6.4,2002,7.45
New Ocean,8.3,1998,20.05
New Ocean Part 1,8.5,1998,8.2
New Paradise,8.9,1998,9.1
New Paradise Part 1,9.7,2018,13.08
New Phoenix,8.5,1998,7.76
New Phoenix Part 1,9.7,2015,2.83
New Phoenix Part 2,8.2,2004,21.58
New Phoenix Part 3,9.0,2008,66.15
New Phoenix Part 4,6.3,2001,63.06
New Redemption,9.6,2000,13.67
New Shadow,7.0,2022,1.14
New Thunder,8.3,2007,23.16
New Thunder Part 1,7.7,2005,7.02
New Valley,9.5,2006,32.82
New Vengeance,8.0,2010,40.69
New Warrior,5.3,2004,50.76
New Warrior Part 1,9.1,2010,0.17
New Warrior Part 2,9.0,2015,2.16
New Warrior Part 3,8.6,2016,41.4
New Warrior Part 4,6.3,2021,6.56
Ocean 1,9.1,1998,6.97
Ocean 2,7.4,2019,4.29
Ocean 3,9.4,1993,20.24
Ocean 3 Part 1,9.6,2017,100.0
Ocean 3 Part 2,6.1,1999,5.36
Ocean 3 Part 3,8.5,2014,70.82
Ocean 4,9.8,2018,100.0
Ocean 4 Part 1,4.8,1995,29.27
Ocean 5,8.0,2022,11.06
Ocean 5 Part 1,8.1,2018,1.46
Ocean 5 Part 2,4.4,2019,5.09
Ocean Code,7.2,2015,7.67
Ocean Code Part 1,8.2,2010,100.0
Ocean Day,5.2,2023,4.03
Ocean Effect,9.4,1997,2.32
Ocean Effect Part 1,6.6,2024,11.1
Ocean Night,6.9,2018,30.27
Ocean Night Part 1,6.9,2016,64.55
Ocean Night Part 2,8.2,2024,7.67
Ocean Night Part 3,4.6,2003,33.32
Ocean Project,7.9,2012,37.12
Ocean Project Part 1,8.4,1997,8.45
Ocean Protocol,9.2,2014,33.31
Ocean Signal,8.4,2018,11.83
Ocean Signal Part 1,8.1,2017,4.92
Ocean Signal Part 2,6.5,2010,15.05
Ocean Signal Part 3,7.9,2024,44.42
Ocean Signal Part 4,8.5,2014,100.0
Ocean Signal Part 5,8.8,2007,59.58
Ocean Signal Part 6,6.9,1996,19.57
Ocean Theory,9.2,2022,25.9
Ocean Theory Part 1,8.2,2008,43.89
Operation City Awakened,8.1,2011,4.36
Operation Dawn Chronicles,7.3,2003,27.78
Operation Dawn Found,7.1,2023,14.82
Operation Destiny Awakened,8.7,1997,15.18
Operation Dragon Reborn,7.3,2009,100.0
Operation Eclipse Awakened,6.8,2006,12.12
Operation Eclipse Legacy,8.4,2014,100.0
Operation Guardian Found,8.3,2017,42.02
Operation Horizon Eternal,7.4,2001,100.0
Operation Legacy Forever,5.7,2001,19.81
